rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0030.jpg,12.0,0.8403,0.852,0.7143,1.0,10,5,False,True
2,frame_0133.jpg,53.2,0.7663,0.704,0.7143,1.0,9,5,False,True
3,frame_0021.jpg,8.4,0.708,0.6732,0.5714,1.0,5,4,False,True
4,frame_0002.jpg,0.8,0.7046,0.752,0.4286,1.0,7,3,False,True
5,frame_0075.jpg,30.0,0.7006,0.6744,0.5714,0.96,9,4,False,True
6,frame_0132.jpg,52.8,0.6999,0.657,0.5714,1.0,8,4,False,False
7,frame_0020.jpg,8.0,0.6974,0.8234,0.2857,1.0,3,2,False,False
8,frame_0291.jpg,116.4,0.6877,0.7822,0.4286,0.84,6,3,False,True
9,frame_0031.jpg,12.4,0.6742,0.5199,0.7143,1.0,11,5,False,False
10,frame_0388.jpg,155.2,0.6741,0.77,0.8571,0.16,9,6,False,True
11,frame_0386.jpg,154.4,0.6716,0.8186,0.7143,0.24,14,5,False,False
12,frame_0074.jpg,29.6,0.6607,0.6642,0.4286,1.0,9,3,False,False
13,frame_0016.jpg,6.4,0.6587,0.6602,0.4286,1.0,5,3,False,True
14,frame_0077.jpg,30.8,0.6522,0.6953,0.4286,0.88,9,3,False,False
15,frame_0307.jpg,122.8,0.6437,0.6074,1.0,0.2,10,7,False,True
16,frame_0176.jpg,70.4,0.6403,0.8418,0.5714,0.24,7,4,False,True
17,frame_0387.jpg,154.8,0.6402,0.8576,0.5714,0.2,12,4,False,False
18,frame_0124.jpg,49.6,0.6377,0.6606,0.5714,0.68,6,4,False,True
19,frame_0073.jpg,29.2,0.6367,0.6162,0.4286,1.0,7,3,False,False
20,frame_0319.jpg,127.6,0.6324,0.7242,0.7143,0.28,9,5,False,True
21,frame_0013.jpg,5.2,0.6314,0.6913,0.2857,1.0,4,2,False,False
22,frame_0114.jpg,45.6,0.6307,0.8066,0.5714,0.28,6,4,False,False
23,frame_0033.jpg,13.2,0.6231,0.6748,0.2857,1.0,11,2,False,False
24,frame_0175.jpg,70.0,0.6206,0.872,0.4286,0.28,8,3,False,False
25,frame_0086.jpg,34.4,0.6189,0.687,0.5714,0.52,5,4,False,False
26,frame_0067.jpg,26.8,0.618,0.6645,0.2857,1.0,11,2,False,False
27,frame_0005.jpg,2.0,0.6132,0.655,0.2857,1.0,6,2,False,False
28,frame_0078.jpg,31.2,0.6125,0.7175,0.2857,0.84,10,2,False,False
29,frame_0370.jpg,148.0,0.6112,0.6922,0.8571,0.04,9,6,False,False
30,frame_0328.jpg,131.2,0.5997,0.7389,0.7143,0.08,11,5,False,False
31,frame_0069.jpg,27.6,0.5982,0.5393,0.4286,1.0,6,3,False,False
32,frame_0080.jpg,32.0,0.597,0.5471,0.5714,0.76,7,4,False,False
33,frame_0379.jpg,151.6,0.5926,0.7406,0.7143,0.04,12,5,False,False
34,frame_0305.jpg,122.0,0.592,0.8149,0.4286,0.28,9,3,False,False
35,frame_0128.jpg,51.2,0.5896,0.7574,0.1429,0.84,9,1,False,False
36,frame_0009.jpg,3.6,0.5882,0.6907,0.1429,1.0,3,1,False,False
37,frame_0378.jpg,151.2,0.585,0.7952,0.5714,0.08,12,4,False,False
38,frame_0377.jpg,150.8,0.5847,0.6929,0.7143,0.12,11,5,False,False
39,frame_0072.jpg,28.8,0.5796,0.5878,0.2857,1.0,9,2,False,False
40,frame_0288.jpg,115.2,0.5767,0.6083,0.4286,0.72,7,3,False,False
41,frame_0012.jpg,4.8,0.576,0.5806,0.2857,1.0,4,2,False,False
42,frame_0089.jpg,35.6,0.575,0.6471,0.5714,0.4,8,4,False,False
43,frame_0011.jpg,4.4,0.572,0.5725,0.2857,1.0,4,2,False,False
44,frame_0126.jpg,50.4,0.5702,0.5793,0.4286,0.76,10,3,False,False
45,frame_0274.jpg,109.6,0.5686,0.816,0.4286,0.16,9,3,False,False
46,frame_0296.jpg,118.4,0.5675,0.6218,0.4286,0.64,6,3,False,False
47,frame_0391.jpg,156.4,0.5674,0.7759,0.5714,0.04,10,4,False,False
48,frame_0295.jpg,118.0,0.5663,0.6035,0.4286,0.68,6,3,False,False
49,frame_0125.jpg,50.0,0.5598,0.5745,0.4286,0.72,6,3,False,False
50,frame_0397.jpg,158.8,0.5594,0.8674,0.2857,0.2,12,2,False,False
51,frame_0309.jpg,123.6,0.5591,0.7274,0.5714,0.12,7,4,False,False
52,frame_0199.jpg,79.6,0.5529,0.828,0.1429,0.48,1,1,False,False
53,frame_0180.jpg,72.0,0.5514,0.6422,0.7143,0.08,6,5,False,False
54,frame_0029.jpg,11.6,0.5512,0.531,0.2857,1.0,6,2,False,False
55,frame_0105.jpg,42.0,0.5511,0.813,0.4286,0.08,8,3,False,False
56,frame_0186.jpg,74.4,0.5506,0.7424,0.5714,0.04,12,4,False,False
57,frame_0167.jpg,66.8,0.5483,0.6852,0.2857,0.6,7,2,False,False
58,frame_0384.jpg,153.6,0.5482,0.7752,0.4286,0.16,12,3,False,False
59,frame_0229.jpg,91.6,0.5449,0.6292,0.7143,0.08,9,5,False,False
60,frame_0127.jpg,50.8,0.5442,0.597,0.2857,0.8,8,2,False,False
61,frame_0193.jpg,77.2,0.543,0.6472,0.5714,0.24,8,4,False,False
62,frame_0287.jpg,114.8,0.5423,0.5554,0.4286,0.68,6,3,False,False
63,frame_0194.jpg,77.6,0.5422,0.6295,0.5714,0.28,6,4,False,False
64,frame_0028.jpg,11.2,0.5407,0.5099,0.2857,1.0,8,2,False,False
65,frame_0298.jpg,119.2,0.5406,0.6001,0.4286,0.56,6,3,False,False
66,frame_0286.jpg,114.4,0.54,0.5668,0.4286,0.64,8,3,False,False
67,frame_0230.jpg,92.0,0.5392,0.6875,0.5714,0.12,11,4,False,False
68,frame_0211.jpg,84.4,0.5389,0.5647,0.4286,0.64,3,3,False,False
69,frame_0168.jpg,67.2,0.5352,0.675,0.2857,0.56,7,2,False,False
70,frame_0290.jpg,116.0,0.5326,0.5738,0.2857,0.8,8,2,False,False
71,frame_0001.jpg,0.4,0.531,0.4906,0.2857,1.0,9,2,False,False
72,frame_0171.jpg,68.4,0.5303,0.5418,0.5714,0.44,6,4,False,False
73,frame_0071.jpg,28.4,0.5298,0.4881,0.2857,1.0,7,2,False,False
74,frame_0200.jpg,80.0,0.5282,0.677,0.2857,0.52,2,2,False,False
75,frame_0223.jpg,89.2,0.5279,0.5633,0.7143,0.16,10,5,False,False
76,frame_0000.jpg,0.0,0.5276,0.6552,0.0,1.0,10,0,False,False
77,frame_0172.jpg,68.8,0.5266,0.636,0.4286,0.4,9,3,False,False
78,frame_0294.jpg,117.6,0.5251,0.5908,0.2857,0.72,5,2,False,False
79,frame_0203.jpg,81.2,0.5237,0.5343,0.4286,0.64,3,3,False,False
80,frame_0279.jpg,111.6,0.5229,0.6447,0.4286,0.36,6,3,False,False
81,frame_0213.jpg,85.2,0.5209,0.5606,0.4286,0.56,4,3,False,False
82,frame_0003.jpg,1.2,0.5189,0.4664,0.2857,1.0,7,2,False,False
83,frame_0301.jpg,120.4,0.5177,0.6022,0.4286,0.44,9,3,False,False
84,frame_0302.jpg,120.8,0.5163,0.6154,0.4286,0.4,7,3,False,False
85,frame_0385.jpg,154.0,0.5162,0.6952,0.4286,0.2,14,3,False,False
86,frame_0315.jpg,126.0,0.516,0.6411,0.5714,0.12,9,4,False,False
87,frame_0327.jpg,130.8,0.5153,0.6718,0.5714,0.04,11,4,False,False
88,frame_0325.jpg,130.0,0.5151,0.6713,0.5714,0.04,7,4,False,False
89,frame_0102.jpg,40.8,0.5137,0.6365,0.5714,0.12,6,4,False,False
90,frame_0018.jpg,7.2,0.5128,0.4542,0.2857,1.0,5,2,False,False
91,frame_0068.jpg,27.2,0.5118,0.4522,0.2857,1.0,6,2,False,False
92,frame_0231.jpg,92.4,0.509,0.7826,0.2857,0.16,11,2,False,False
93,frame_0372.jpg,148.8,0.5084,0.6259,0.5714,0.12,11,4,False,False
94,frame_0169.jpg,67.6,0.5081,0.6368,0.2857,0.52,7,2,False,False
95,frame_0008.jpg,3.2,0.504,0.608,0.0,1.0,3,0,False,False
96,frame_0208.jpg,83.2,0.5036,0.6175,0.1429,0.76,3,1,False,False
97,frame_0115.jpg,46.0,0.5019,0.533,0.5714,0.32,7,4,False,False
98,frame_0129.jpg,51.6,0.5008,0.5638,0.1429,0.88,6,1,False,False
99,frame_0015.jpg,6.0,0.4982,0.5106,0.1429,1.0,5,1,False,False
100,frame_0277.jpg,110.8,0.497,0.7106,0.2857,0.28,8,2,False,False
101,frame_0293.jpg,117.2,0.4965,0.5175,0.2857,0.76,5,2,False,False
102,frame_0396.jpg,158.4,0.4961,0.671,0.4286,0.16,8,3,False,False
103,frame_0308.jpg,123.2,0.4951,0.669,0.4286,0.16,6,3,False,False
104,frame_0221.jpg,88.4,0.4936,0.5484,0.5714,0.24,5,4,False,False
105,frame_0374.jpg,149.6,0.4928,0.7341,0.2857,0.2,10,2,False,False
106,frame_0284.jpg,113.6,0.4921,0.5888,0.2857,0.56,6,2,False,False
107,frame_0310.jpg,124.0,0.4898,0.6047,0.5714,0.08,7,4,False,False
108,frame_0321.jpg,128.4,0.4896,0.642,0.4286,0.2,10,3,False,False
109,frame_0399.jpg,159.6,0.4878,0.6064,0.4286,0.28,7,3,False,False
110,frame_0006.jpg,2.4,0.4848,0.4839,0.1429,1.0,5,1,False,False
111,frame_0084.jpg,33.6,0.4839,0.4707,0.4286,0.6,5,3,False,False
112,frame_0081.jpg,32.4,0.4838,0.5081,0.2857,0.72,7,2,False,False
